"","abbrv","actors","type","foreign","coalition","territory","terrcons","geospr","relgeoprs","milstrdiv","relmilstr","years","battles","grpfight","hostindex"
"56","AlMutTM","Al Muthanna Tribal Militia",4,0,0,0,0,1,0.059,2,0.003,1,2,0,0
"60","AlSahTM","Al Sahaq Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"65","AlShuTM","Al Shunayni Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"71","AlZTM","Al Zaraniq Tribal Militia",4,1,0,0,0,1,0.059,2,0.003,2,2,2,1
"73","AsSadCM","As Sadah Communal Militia",4,0,0,0,0,1,0.059,2,0.003,1,2,2,1
"79","AzZTM","Az Zaazi Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,0,0
"82","BaTM","Bakazem Tribal Militia",4,0,0,0,0,1,0.059,3,0.005,1,3,1,0.333
"91","BayKTM","Bayt Kuda Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,0,0
"93","DahTM","Daham Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"94","DamTM","Damashqa Tribal Militia",4,0,0,0,0,1,0.059,3,0.005,1,3,1,0.333
"95","GhaTM","Ghawla Tribal Militia",4,0,0,0,0,1,0.059,3,0.005,1,3,3,1
"96","GhuTM","Ghurab Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,0,0
"101","HSCBTM","Harf Sufyan Clan Bakil Tribal Militia",4,0,0,0,0,1,0.059,3,0.005,1,3,3,1
"102","HaSB","Hashem al Sayyid Brigade",3,1,0,1,1,2,0.118,8.5,0.015,1,17,1,0.059
"104","Hez","Hezbollah",2,1,0,0,0,1,0.059,1,0.002,1,1,0,0
"106","HaKCM","Hubayl al Kawr Communal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"114","MAHaY","Militia Abu Hammam al Yafei",3,1,0,0,0,2,0.118,2,0.003,3,4,2,0.5
"125","QCM","Qatabah Communal Militia",4,0,0,0,0,1,0.059,2,0.003,1,2,0,0
"136","ShMM","Shiite Muslim Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,0,0
"137","SoMA","Sons of Marib Alliance",3,0,1,0,0,2,0.118,1,0.002,1,2,0,0
"140","STC","Southern Transitional Council",1,1,0,1,1,7,0.412,2.857,0.005,4,817,350,0.428
"147","TBTM","Thu Bahbah Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,0,0
"148","TCM","Tihama Communal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"150","TTM","Tiyabi Tribal Militia",4,0,0,0,0,1,0.059,3,0.005,1,3,3,1
"192","AlQayTM","Al Qayfa Tribal Militia",4,0,0,0,0,1,0.059,7,0.012,4,7,7,1
"193","AlJadTM","Al Jadaan Tribal Militia",4,0,0,0,0,1,0.059,9,0.016,1,9,8,0.889
"166","SaMM","Salafist Muslim Militia",4,0,0,0,0,3,0.176,6,0.01,6,18,10,0.556
"222","HubTM","Hubaysh Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"174","AlAshTM","Al Ashraf Tribal Militia",4,0,0,0,0,1,0.059,3,0.005,4,3,1,0.333
"212","GPC","General People's Congress",1,0,0,0,0,1,0.059,36,0.062,4,36,34,0.944
"223","BMTM","Bani Matar Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"224","AlSabTM","Al Sabtan Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"225","AlAslTM","Al Aslam Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"226","BDTM","Bani Dabyan Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"227","AlMaqdTM","Al Maqdashi Tribal Militia",4,1,0,0,0,1,0.059,1,0.002,1,1,1,1
"196","HaB","Hasm Brigade",3,1,0,0,0,2,0.118,1,0.002,3,2,2,1
"153","AlSulTM","Al Sulaiman Tribal Militia",4,0,0,0,0,1,0.059,2,0.003,1,2,1,0.5
"198","MilitiaAmaA","Militia Amin al Akhali",3,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"197","MMAM","Militia Mokhtar Al Marziqi",3,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"158","AlJiTM","Al Jidaan Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"169","AABDTM","Al Abdullah Bin Dahha Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"167","AFTM","Al Falis Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"161","AlBadaTM","Al Badani Tribal Militia",4,0,0,0,0,1,0.059,2,0.003,1,2,2,1
"210","BaniHuTM","Bani Hushish Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"199","MSaH","Militia Salim al Handhala",3,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"211","AlQuTM","Al Qushaibi Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"165","AlDhTM","Al Dhawbary Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"195","MAS","Militia Al Saalik",3,0,0,0,0,1,0.059,2,0.003,1,2,1,0.5
